event_id,category_id,user_id,user_name,user_past_event,review_id,rating,date,text
1650,6,87,Budi Setiawan,"3, 5",16502687,2,5/7/2023,terlihat sekali sudah kuno
1530,5,41,Wahyu Susanto,"5, 4",15302541,2,4/22/2023,Lemot
1530,5,10,Dina Susanto,"4, 5",15302510,2,4/16/2023,Bismillah
3455,4,165,Agus Pratama,"6, 2",345524165,2,12/4/2022,Indodananya lagi bokek sekarang ini.
1335,3,164,Bambang Purnama,"2, 3",133523164,2,10/6/2021,Bagus
3163,1,39,Desi Utami,"3, 1",31632139,2,9/3/2021,Videonya macet2 saat live
3162,1,39,Desi Utami,"3, 1",31622139,2,10/3/2023,Udah aktif lama tp iklan di aplikasi lain dan terlalu sering dan otomatis aktif sendiri
1528,5,166,Fajar Nurhayati,"3, 5",152825166,2,7/21/2023,Traveloka Lagi Error' apa gimana ya Saya buka Fitur Paylatter kok ga bisa bisa ya Tolong di Respon
1530,5,14,Ani Purnama,"6, 2",15301514,1,11/20/2023,"Sangat kecewa, pesan kamar hotel di oyo. Sudah dibayar tp giliran mau check-in katanya kamarnya penuh. Mau refund jg gk bs. Jadi uang hangus. Padahal pesen 4 kamar.. Gitu amat ya cara nyari duitnya"
122,2,190,Fajar Santoso,"1, 3",12212190,1,11/15/2023,Awas jebakan dari Paylater nya Traveloka kawan!!! Kalau tidak mau kecewa jangan coba coba pakai jasa Payater Traveloka. Jangan sampai kalian kirim foto KTP dan foto diri kalian ke Traveloka. Karena pasti Mereka Seenak jidat menolak dan menghilangkan fitur Paylater di Traveloka kita Setelah bolak balik suruh perbaiki dan kirim data pribadi. Dan hapus data pribadi saya yg sudah terlanjur saya kirim ke Traveloka ! Saya laporkan polisi jika data saya disalahgunankan!
3454,4,119,Budi Rahayu,"1, 2",345414119,1,11/8/2023,"Tolong untuk traveloka khususnya traveloka paylater tolong untuk tidak membocorkan informasi pribadi khususnya data customer no handphone pribadi kepada pihak manapun,,baru saya ajukan pinjaman untuk menginap dan saya pun belum menginap periode bayar pun belum lewat sudah ditelepon oleh puluhan no yang tidak jelas,,harusnya data konsumen sudah dijamin oleh ojk agar tidak disebarluaskan,,untuk yang mau pakai traveloka paylater harap dipikir ulang kalau tidak mau di telpon no yang tidak jelas."
1332,3,17,Fajar Wijaya,"1, 1",13321317,1,9/14/2023,"aneh, apk nya ga bisa dijalankan, dan selalu ada keterangan hlaman yg anda lihat mungkin bukan versi terbaru. padahal udh di update"
1649,6,104,Fajar Utami,"2, 5",164916104,1,9/18/2023,"Aplikasi tdk bisa dibuka, hanya gambar burung diam aja tdk bergerak. Semakin kesini malah makin kesana. Perbaiki dong"
1642,6,138,Joko Hermawan,"4, 1",164216138,1,9/29/2023,"Menyambungkan terus setelag update, tidak bisa dibuka, fix uninstal"
1110,1,188,Siti Setiawan,"6, 6",111011188,1,10/10/2023,"Habis di update malah ndak bisa cari tiket,, baru te keluar sendiri kayak mana ni min"
1420,4,169,Dian Saputra,"6, 1",142014169,1,11/17/2023,3 hari lalu berhasil booking bus untuk perjalanan jkt - solo next akhir bulan.. Tapi kenapa hari ini mau booking bus untuk perjalanan yang lain tidak bisa? Tidak timbul sama sekali rincian daftar list bus nya
1649,6,63,Desi Putri,"2, 5",16491663,1,10/3/2023,"Gak jelas banget nih APK ! saya mau menghadiri sebuah event dan di event tersebut maksimal hanya boleh membeli 1 tiket. Pas saya mau beli karena tiket udah ready malah nggak bisa, ada pemberitahuan ""anda sudah mencapai batas maksimum pembelian"", lah kata saya, orang saya belum sama sekali beli..tiketnya juga baru muncul, KAN ANEH BIN AJAIB"
3658,6,24,Andi Septiani,"2, 2",36581624,1,8/6/2023,Aplikasi penipuan.. saya pesan hotel... Uang saya udah kepotong... Tp d tiketcom malah tdk d proses... Auto uninstall
3170,1,40,Joko Sari,"5, 6",31701140,1,5/22/2023,Gajelas
3164,1,122,Maya Setiawan,"2, 3",316411122,1,4/21/2023,Blipay Tiba tiba hilang tidak ada di aplikasi padahal uangnya masih😢😢
3170,1,26,Citra Sari,"5, 1",31701126,1,4/2/2023,"servernya tlong diperbaiki dulu. masa mau war tiket konser suga, tidak masuk2 ke server dan berujung kehabisan. 30mnt an baru bs masuk server dlm keadaan tiket sdh habis dipesan, itupun masih kdg2 biss kdg2 enggak. huft sdh biaya platformnya mahal tp server jelek bgt. pffftttt."
1638,6,50,Hadi Santoso,"5, 4",16385650,5,6/11/2022,"ada beberapa wahana yang sedang perbaikan, tp terlihat sudah mulai ramai, selalu menyenangkan setiap dtg ke dufan!"
1637,6,173,Fajar Putri,"2, 6",163756173,5,5/30/2022,"Akses sangat mudah dg tiket online, mushola sdh banyak, wahana upadate setiap tahun, rumah riana dan kereta misteri, seru pokoknya"
1640,6,144,Sinta Rahayu,"6, 3",164056144,5,5/29/2022,selalu menyenangkan pergi ke dufan.
3356,3,112,Ani Hadiwijaya,"3, 5",335653112,5,5/27/2022,sangat menyenangkan pesan tiket di traveloka... dan permainannya banyak
3165,1,170,Andi Sari,"4, 6",316551170,5,5/17/2022,"happy sekali, terima kasih traveloka"
1645,6,85,Maya Susanto,"6, 5",16455685,5,5/9/2022,simple bgt redeem dan aktivasinya. cm kl beli di hr h jam 2 siang udah ga bisa. beli di counter lbh mahal. harga traveloka murah bgt apalagi kl ada promo dr traveloka.
3165,1,12,Joko Susanto,"4, 2",31655112,5,5/6/2022,bagus dan nyaman dan secara keamanan juga baik
3170,1,112,Ani Hadiwijaya,"3, 5",317051112,5,5/5/2022,wahananya bikin greget. cocok buat yg mau lampiasin bisa teriak sepuasnya
1114,1,178,Dewi Hidayat,"3, 2",111451178,5,11/21/2023,tempat yg nyaman n bagus utk anak2
1526,5,44,Arif Sari,"2, 4",15265544,5,7/1/2023,Sangat menyenangkan boleh berkunjung ke sini.
3162,1,64,Fajar Utami,"5, 2",31625164,5,6/14/2023,semua berjalan dengan sangat baik dan penuh dengan ramah tamah
114,1,119,Budi Rahayu,"1, 2",11451119,5,6/4/2023,Ke depan sebaiknya dibuat paket dengan pintu masuk ancol karena saya kaget saat masuk ancol tiket yang saya beli belum termasuk pintu masuk ancol
1519,5,4,Dina Utami,"6, 2",1519554,5,5/3/2023,"Ok semua. Fasilitas lengkap, Bersih Dan Nyaman"
1110,1,136,Fandi Purnama,"5, 6",111051136,5,1/9/2023,Anak saya sangat senang ketika mengunjungi seaworld dan ocean dream. Walaupun gak nyangka jalan nya jauh banget dari gerbang masuk. Sayang nya juga kami tidak sempat nonton pertunjukan lumba2 di ocean dream di karenakan sudah capek semua. Tapi anak saya sangat senang dan ingin ke sini lagi nanti pas liburan sekolahnya.
1422,4,163,Budi Susanto,"6, 3",142254163,5,11/14/2022,mantabzzz untuk liburan bersama keluarga
1647,6,111,Hadi Kurniawan,"3, 4",164756111,5,8/16/2022,"Redeem tiket cepat, protokol kesehatan berjalan"
1418,4,31,Dian Hidayat,"3, 5",14185431,5,5/25/2022,Perlu penerangan lebih di beberapa tempat
3164,1,147,Fajar Saputra,"6, 2",316451147,5,5/21/2022,Sangat menarik... kebersihan terjaga...
3166,1,114,Ani Sari,"4, 3",316641114,4,6/10/2023,Staff yang berdiri di dekat penukaran tiket orang nya judes
3170,1,70,Fandi Hadiwijaya,"1, 4",31704170,4,5/8/2023,secara umum tidak ada kendala
1416,4,81,Lina Rahayu,"2, 1",14164481,4,2/14/2023,menyenangkan
1111,1,195,Rudi Purnama,"2, 4",111141195,4,10/24/2022,"banyak wahana gak beroperasi, alasannya akhir tahun perbaikan. jadinya cuma jalan ngider2 doang panas2an"
122,2,38,Maya Utami,"2, 1",1224238,4,6/5/2022,"saya sangat menikmati di SeaWorld, apalagi pakai voucher dari Traveloka, lebih mudah dan lebih cepat"
1529,5,74,Arif Purnama,"3, 2",15293574,3,5/27/2022,arahan untuk e-cardnya kurang informatif dan bikin konsumen bingung
1650,6,164,Bambang Purnama,"2, 3",165036164,3,11/21/2023,"Aplikasi ini sangat bagus dan sangat membantu sekali, banyak promo yg ditawarkan, terimakasih Traveloka"
1645,6,129,Maya Kusuma,"4, 6",164536129,3,9/22/2023,Senag menggunakan wastap tapi kenapa tiba2 dikatakan masa berlaku wastap telah habis.
3168,1,196,Dewi Susanto,"2, 1",316831196,3,9/2/2023,bagus
1215,2,164,Bambang Purnama,"2, 3",121532164,3,8/19/2023,"sudah terpercaya, tapi kenapa ya rasanya tiap bulan kok naik terus harganya"
111,1,185,Budi Wijaya,"6, 3",11131185,3,7/18/2023,Traveloka sekarang mahal ny kebangeeetan
119,1,41,Wahyu Susanto,"5, 4",1193141,3,7/2/2023,"mantabbb,,"
1646,6,20,Arif Septiani,"6, 3",16462620,2,3/22/2023,"tingkat keramahan staff kurang, tidak boleh duduk di lantai meskipun hanya sekedar berfoto dgn timer krn pergi sendiri, lgsg kena teguran.. dslr / tongsis / analog di larang, tp dukungan staff juga tidak memadai"
1531,5,164,Bambang Purnama,"2, 3",153125164,2,1/21/2023,Mbak penjaganya gak gercep membatasi muatan padahal masih banyak yang kosong. Anak sapai nangisss udah berharap bisa naik tapi nihill
1650,6,120,Dewi Septiani,"5, 3",165026120,2,5/9/2022,"harus issue e-card di hari yg sama... biasa lagi asik main seharian dan ga sempet issue ecard jadi hangus. rugi deh beli untuk tahunan, dan diinfo harus issue e-card di hari yg sama di pdfnya... engga ada tulisan di appsnya yg ada barcode."
1423,4,90,Dina Saputra,"1, 2",14232490,2,4/5/2023,Aman ga ya beli tiket pesawat di aplikasi ini?
1418,4,119,Budi Rahayu,"1, 2",141824119,2,12/25/2022,Kenapa aplikasi ini tifak bisa di install?
1334,3,181,Andi Hadiwijaya,"3, 2",133423181,2,8/19/2021,Wh ok
1553,5,125,Fandi Hidayat,"5, 2",155325125,2,11/25/2023,Akun Traveloka malah eror GK bisa masuk
3162,1,145,Arif Nugroho,"1, 4",316221145,2,5/17/2023,Hallo knp saya mau refund gk bisa ya nunggu kode gk masuk2
1553,5,186,Budi Wijaya,"1, 4",155315186,1,12/7/2023,"Gak bisa di gunakan, padahal koneksi internet bagus wifi juga lancar tpi apknya gak bisa digunakan"
1212,2,48,Maya Kusuma,"2, 3",12121248,1,9/5/2023,"Aplikasi aneh dan berbelit belit Beli gift voucher total nominal 2jt, dikirim ke 2 penerima, penerima pertama pake aman, giliran saya mau pake gak bisa, keterangannya sudah pernah dipakai.. Waktu konfirmasi pelayan kayak aplikasi abal abal amatiran jawaban muter muter tanpa solusi, seminggu lebih nunggu info ujungnya dikonfirmasi sudah pernah dipake, lah siapa yg pake? Kalo aja ada bintang minus, udah tak kasih minus ni aplikasi 👎👎👎👎"
1212,2,28,Fandi Putri,"5, 1",12121228,1,8/22/2023,"Promo tertera tp sekali di gunakan , habis Trus ngapain di pajang trus promonya Dari dulu ga pernah dapet promo"
3165,1,153,Budi Hartono,"5, 2",316511153,1,8/9/2023,Jembutrrrr
1111,1,181,Andi Hadiwijaya,"3, 2",111111181,1,8/8/2023,APLIKASI BURUK SEKALI!! PAYMENT BERHASIL TAPI HOTEL GW GA DAPAT!! HUBUNGIN CS TAPI LAMA BGT BALES NYA!!
1648,6,77,Desi Wijaya,"3, 1",16481677,1,8/6/2023,"Aplikasi jelek merugikan, sudah transfer tetapi orderan tidak di selesai kan dan e-tiket tidak di terbitkan, CS pun semua pake robot susah untuk komplain"
1422,4,66,Agus Wijaya,"5, 3",14221466,1,8/5/2023,"Saya sudah bayar tp di hub tdk bisa , tiket blom dikirim, buat ssh org"
3164,1,23,Fajar Kusuma,"4, 1",31641123,1,8/5/2023,Bilangnya pusat bantuan 24/7 saya mengajukan keluhan aja seharian tidak ditanggapi jangan sok iklan lah kalo hasilnya Nol Besar.
1424,4,195,Rudi Purnama,"2, 4",142414195,1,8/5/2023,"Customer care sangat tidak peduli, semua nomor dan email layanan tidak memberikan tanggapan atas masalah yang ada"
1333,3,6,Arif Putri,"5, 2",1333136,1,6/14/2023,Mau reschedule harus urus sendiri kelamaan
1647,6,172,Dian Kurniawan,"1, 2",164716172,1,5/8/2023,Aplikasinya ngebug. Pencet tiket bus tapi ga ada yg bisa dipilih. Aneh
1637,6,161,Lina Nugroho,"6, 5",163716161,1,4/26/2023,"Aplikasi yang sangat tidak recomended, para pencari uang haram customer"
1646,6,125,Fandi Hidayat,"5, 2",164616125,1,4/13/2023,Minimal bantuin tinjau proses refund GUDFEST. Jangan main lepas tangan aja. Tanggung jawab jg kan kita beli tiket di kalian.
3165,1,63,Desi Putri,"2, 5",31655163,5,7/3/2022,"ok, but karena weekend lumayan ramai"
3169,1,15,Arif Kurniawan,"3, 1",31695115,5,6/16/2022,Dufan sudah banyak perubahan namun tetap saja jika kesana hari liburan harus antri panjang...
1643,6,62,Joko Sari,"6, 1",16435662,5,5/9/2022,"gampang juga buat e-card, gak susah..."
1644,6,157,Ani Susanto,"4, 1",164456157,5,8/14/2023,oke banget pelayanan nya
1651,6,167,Fandi Hermawan,"3, 1",165156167,5,7/31/2023,sangat seru dan favoritku adalah aquarium tunnel
1646,6,66,Agus Wijaya,"5, 3",16465666,5,5/28/2023,kesini pas weekend jadi rame banget tapi alhamdulillah tetep masih bisa menikmati
122,2,49,Fajar Hidayat,"3, 1",1225249,5,5/7/2023,"seru, tempatnya bagus dan recomended buat anak2."
1212,2,65,Siti Pratama,"5, 6",12125265,5,4/5/2023,Semuanya menyenangkan dan memberikan kesan untuk kami.
1644,6,100,Lina Rahayu,"6, 2",164456100,5,12/3/2022,Seruu membawa anak ke sea world dan ocean samudra
1642,6,145,Arif Nugroho,"1, 4",164256145,5,6/28/2022,"Staff yang ramah, pengaturan yang rapi dan semuanya luar biasa"
3166,1,97,Dewi Hidayat,"2, 2",31665197,5,5/18/2022,keren bgt tempatnya dan sepi karena orang pilih ke puncak
1215,2,42,Desi Putri,"4, 6",12154242,4,1/4/2023,"Tempat yang wajib dikunjungi kalau baru kali pertama ke Bali. Ingin menikmati tari kecak di amphiteater, namun karena saat itu ada festival kuliner, jadi dipindahkan di area atas. Agak kecewa sih, karena jadi gak dapet 'feel' dan view yang diinginkan. Karena sejajar sama penari, banyak penonton yang nggak kelihatan dari belakang. Tapi berkat festival kuliner, jadi banyak pilihan makanan yang bisa dinikmati. jadi ya 50-50 lah ya. Namun secara keseluruhan, menyenangkan."
1636,6,104,Fajar Utami,"2, 5",163646104,4,7/9/2022,"proses redeem voucher cepat, lumayan dapat potongan harga dibandingkan kalau beli di tempat. thanks Traveloka 😀"
115,1,51,Fandi Pratama,"2, 1",1154151,4,1/1/2023,"sebaiknya klo mau berkunjung ke dufan jgn di hari weekend karena sangat padat, antrian tiap wahana sangat panjang dan lama sehingga hanya bisa mengikuti beberapa wahana yang ada.."
1640,6,118,Ani Santoso,"6, 1",164046118,4,5/9/2022,"Sudah cukup lama tidak ke Dufan, banyak yg baru, dari mulai wahana bahkan sampai dengan theme song pun lebih kekinian, untuk redeem e-ticket mudah, e-card pun simpel, masukkan untuk pengelola agar wahana lebih dimaksimalkan. Krn ada beberapa yg under maintenance dan agar lebih banyak tenda-tenda untuk berlindung dari matahari. Terima kasih"
3168,1,71,Hadi Putri,"3, 3",31684171,4,9/15/2022,Secara relatif masih sangat terawat aquariumnya dan harganya terjangkau. Sayangnya area kolam 'touch pool' sudah tidak ada lagi.
3659,6,179,Andi Susanto,"1, 6",365946179,4,9/5/2022,Senang ajak keluarga taambah lagi ikan-ikannya
1649,6,78,Fandi Putri,"3, 3",16494678,4,7/5/2022,bagus tapi kurang terawat kebersihannya
1110,1,93,Hadi Putri,"5, 6",11103193,3,7/6/2022,"beli tiket online, tapi harus antri untuk ditukarkan disana. padahal ada barcode, harusnya disediakan fasilitas untuk tapping disana, tidak perlu antri seperti beli tiket disana."
1647,6,10,Dina Susanto,"4, 5",16473610,3,11/18/2023,Bagus tapi blm aku coba.
3659,6,105,Siti Susanto,"2, 6",365936105,3,7/26/2023,CS Traveloka ngga ada yang bisa dihubungi. Chat berulang kali ngga dibalas
1427,4,72,Wahyu Kurniawan,"5, 3",14273472,3,7/6/2023,Ada apa ini traveloka error kah? Kenapa saya gk bisa melakukan pembayaran menggunakan paylater padahal limit saya masih banyak...
3454,4,60,Rudi Septiani,"6, 2",34542460,2,4/23/2023,"beli tiket on site susah, alur perjalanan jauh, banyak jalan kaki dan hanya melihat jalan saja. masuk situs nya harus jalan kaki dan naik turun tangga cukup berat melelahkan. harga tiket juga cukup mahal, fasilitas kurang memuaskan. ada free drink, hanya sirup dingin tali harus jalan kaki lagi cukup jauh. benar2 melelahkan, kurang puas...mohon maaf"
1641,6,106,Budi Hidayat,"2, 6",164126106,2,1/10/2023,"Di saat genting tb² tiket di rescheduled, sgt ga membantu krn ga bs reschedule lgsg dr apps dan di suruh tlp nomer CS airlines, tapi CS Airlines ini aja udah ga bs di hub melalu itu dan di alihkan ke WA.. harus nya info nya update terkait no perubahan CS. Travel agent wajib punya informasi yg update."
1647,6,14,Ani Purnama,"6, 2",16472614,2,12/8/2022,"Mengecewakkan banget, mau ngajuin paylater gagal terus"
1651,6,125,Fandi Hidayat,"5, 2",165126125,2,9/11/2022,V. .pin I nj Bisa C
1420,4,94,Ani Susanto,"2, 4",14202494,2,9/18/2023,"Aku 2tahun ga pke traveloka sejak corona limit paylater gak pernah dikurangi. Pdhl jarang pake jg. Giliran ganti dari trinusa traveindo ke caturnusa sejahtera, uda nelpon tiba2 suruh bayar cepet2 pdhl masih jauh harinya, ga ramah pula kek deptcollector, limit tb2 diturunin hampir 3/4 dari limit sebelumnya. Ga mslh sebenernya, cm kecewa aja, pdhl akun lama bgt uda 5tahun lbh pke traveloka. Busuk!"
1651,6,105,Siti Susanto,"2, 6",165126105,2,7/27/2023,U mm
3169,1,51,Fandi Pratama,"2, 1",31692151,2,6/17/2023,good
1111,1,126,Agus Santoso,"3, 6",111111126,1,11/27/2023,"diperbaiki lagi untuk sistem pemilihan kursi nya, waktu pilih no kursi masih ada tetapi waktu mau bayar bertuliskan kursi penuh"
1646,6,49,Fajar Hidayat,"3, 1",16461649,1,9/19/2023,"Mohon maintance ulang min, aplikasi terlalu berat untuk tampilan one UI terbaru"
1420,4,102,Lina Nurhayati,"1, 2",142014102,1,10/1/2023,Uang mepet booking hotel eh tiket tidak dapat diterbitkan padahal udah bayar lalu saya Refund uangnya blm balik dan proses nya lama bgt
1531,5,6,Arif Putri,"5, 2",1531156,1,12/8/2023,Aplikasi yang sangat bagus untuk berpergian keluar kota
1645,6,87,Budi Setiawan,"3, 5",16451687,1,11/13/2023,Proses penarikan dana dari bliblipay ke rek brp lama ya ....
119,1,91,Bambang Wijaya,"1, 2",1191191,1,11/3/2023,"Maskapai apaan ini bagasi 15 kg lion tpi tdk d masukin harga merauke - Nabire 3.100 , bayar bagaisih 500 , 3 x transit , lion lion tdk berguna, maskapai di alihkan jauh skli kasian wanita tenteng barang 20 kg naik bagasi kabin percuma, tolong pemerintah d merauke datang nya garuda sampai nabire, lion sllu bermasalah tdk penting juga,"
1526,5,13,Hadi Kurniawan,"4, 3",15261513,1,10/17/2023,"Tiket gagal terbit gara2 aplikasinya telat update. Mau ganti kamar atau ganti hotel, sistem gagal mulu. Giliran mau refund lewat blipay, eh nunggu 14 hari baru bisa balik uangnya. Tolong diperbaiki ini sistemnya. Hey. Dan sekarang refundnya belum bisa cair, 2 kali mencairkan gagal. Mana sekali pencairan nunggu 3 hari lagi."
1334,3,105,Siti Susanto,"2, 6",133413105,1,10/1/2023,Kesel bgt . setiap mau melanjutkan pembayaran tiket malah gangguan terus berulang2 . gimna ini. Mohon segera di perbaiki .
1333,3,144,Sinta Rahayu,"6, 3",133313144,1,9/20/2023,Aplikasi jelek
117,1,56,Desi Putri,"1, 3",1171156,1,7/2/2023,"Beberapa kali booking hotel, selalu tidak sesuai dg harga di hotelnya, akhirnya diminta tambah sama resepsionis nya... Mungkin lebih ditekankan lagi dengan mitra hotelnya,, agar setelah bayar di aplikasi tidak dimintai tambah biayanya oleh pihak hotelnya... Terimakasih"
3165,1,180,Andi Susanto,"6, 5",316511180,1,6/4/2023,"Sumpah KAPOK beli di sini. Di TKP gak jelas. Parah bangt. Gak jelas, gak ceto, gak untung, kapok"
3455,4,21,Budi Santoso,"6, 1",34551421,1,5/2/2023,Diskon nya kalah gede
3163,1,116,Fandi Hartono,"2, 1",316311116,1,5/2/2023,"B"""
1528,5,89,Hadi Wijaya,"6, 4",15281589,1,4/17/2023,"Ketipu sama pnginapan, uda gak ada penginapanya. Uang tidak bisa refound."
1416,4,13,Hadi Kurniawan,"4, 3",14161413,1,4/17/2023,iv
1638,6,65,Siti Pratama,"5, 6",16381665,1,4/3/2023,"Tidak kontak langsung dengan pengelola hotel, jd tdk bisa bertanya tanya dahulu"
3164,1,110,Fajar Wijaya,"3, 6",316451110,5,7/5/2022,"beli tiket di traveloka sangat menyenangkan, meskipun utk aktifin ecard saya hrs ke google chrome krn di traveloka error trs. setelah aktivasi akan muncul kartu ecard kuning buat kita dan akan ada tulisan berlaku sampai kapan. oia utk 1x pembelian annual pass gratis masuk ancol per hari kedatangan kita ya, tapi tiket berlaku 1 tahun. pas di Dufan kita gak perlu antri di tempat tiket, cukup masuk dan scan barcode aja, nanti keluar deh wajah kita pas scan. pokoknya aman beli tiket di traveloka dan pastinya lbh murah dari web officialnya. makasih traveloka, anak2 senang dan orangtua puas"
1110,1,195,Rudi Purnama,"2, 4",111051195,5,7/4/2022,"Keren, karnaval show sudah ada lagi, dufan udah normal kembali seperti dulu, rameee..."
1417,4,83,Sinta Nurhayati,"5, 5",14175483,5,6/22/2022,tempatnya bersih jadi nyaman buat bermain anak-anak
3169,1,138,Joko Hermawan,"4, 1",316951138,5,5/29/2022,Wahananya aman. Lokasi bersih.
1528,5,153,Budi Hartono,"5, 2",152855153,5,5/18/2022,"Walaupun sangat antri tp kami sangat menikmati dan bahagia, terima kasih dufan, sukses dan jaya terus ya"
1421,4,103,Hadi Sari,"3, 1",142154103,5,5/17/2022,walaupun ramai tetap terkendali
1651,6,117,Wahyu Sari,"4, 2",165156117,5,9/15/2023,tempat area sea world bagus dan bersih..menyenangkan melihat-lihat ikan 😊
1647,6,71,Hadi Putri,"3, 3",16475671,5,7/5/2023,mantapp
1427,4,64,Fajar Utami,"5, 2",14275464,5,7/1/2023,terbantu banget.senangnya.bisa mempermudah dan lebih cepat. ngga perlu ngantri.trima kasih traveloka😘
1637,6,176,Ani Hartono,"2, 3",163756176,5,6/25/2023,Sangat bagus
1530,5,135,Sinta Hermawan,"1, 5",153055135,5,6/17/2023,Buat ngajarin anak2 tentang situasi bawah laut
1526,5,1,Maya Putri,"5, 6",1526551,5,5/2/2023,"Tempat yang bagus untuk keluarga. Sayangnya terlalu crowded, memang pada masa liburan, jadi full sekali. Tapi alangkah baiknya kalau diadakan kapasitas maksimal, jadi jangan jual tiket lebih banyak dari kapasitas yang bisa ditampung di satu hari, karena kalau terlalu penuh begini jadi tidak nyaman."
1641,6,132,Joko Hartono,"1, 3",164156132,5,12/5/2022,"Saya beli tiket bundling seaworld + ocean dreams + tiket ancol. tidak ada kendala, semua lancar. hanya bagi yang membawa kendaraan, siapkan saja biaya untuk tiket masuk kendaraannya. pengalaman yg menyenangkan, semua serba praktis dan mudah. cukup siapkan barcode tiket ketika akan masuk ke wahana (paperless)."
3170,1,79,Arif Nugroho,"2, 3",31705179,5,9/27/2022,seru anak2 sangat suka
